Command (HEX);Command description;Command parameter length (DEC);Command parameter type;Command parameter value (DEC);Reply parameter length (DEC);Reply parameter type;Reply parameter value (DEC);Reply description;Comment
fe;Simple poll (ACK reply if successful);;;;;;;Simple poll (ACK reply if successful);254
fd;Address poll ;;;;;;;Address poll ;253
;;;;;1;number;;device address;
FC;Address clash;;;;;;;Address clash;252
;;;;;1;number;;variable delay;
;;;;;1;number;;slave address byte;
FB;Address change;;;;;;;Address change [ACK];251
;new address;1;number;;;;;;
FA;Address random;;;;;;;Address random [ACK];250
F9;Request polling priority;;;;;;;Request polling priority;249
;;;;;1;number;;units;
;;;;;;;0;0 - special case, see below;
;;;;;;;1;1 - ms;
;;;;;;;2;2 - x10 ms;
;;;;;;;3;3 - seconds;
;;;;;;;4;4 - minutes;
;;;;;;;5;5 - hours;
;;;;;;;6;6 - days;
;;;;;;;7;7 - weeks;
;;;;;;;8;8 - months;
;;;;;;;9;9 - years;
;;;;;1;number;;value;
;;;;;;;255;If units = 0 device uses a hardware REQUEST POLL line;
F7;Request variable set;;;;;;;Request variable set;247
;;;;;?;data;;variable;
f6;Request manufacturer ID;;;;;;;Request manufacturer ID;246
;;;;;?;string;;device manufacturer string;
f5;Request equipment category ID ;;;;;;;Request equipment category ID ;245
;;;;;?;string;;device type string;
f4;Request product code ;;;;;;;Request product code ;244
;;;;;?;string;;device product code;
f2;Request serial number ;;;;;;;Request serial number ;242
;;;;;3;number;;device serial number;
f1;Request software revision ;;;;;;;Request software revision ;241
;;;;;?;string;;device software version;
ec;Read Opto States ;;;;;;;Read Opto States ;236
;;;;;1;bitfield;;status Byte of optical sensors ;
;;;;;;;;Bit 0: M1 ;
;;;;;;;;Bit 1: M2 ;
;;;;;;;;Bit 2: M3 return into hopper ;
;;;;;;;;Bit 3: LB5 right storage position ;
;;;;;;;;Bit 4: LB4 left storage position ;
;;;;;;;;Bit 5: LB2 supply exit coin ;
;;;;;;;;Bit 6: LB3 coin recover ;
;;;;;;;;Bit 7: NU ;
EB;Read DH public key;;;;;;;;235
EA;Send DH public key;;;;;;;;234
E6;Request inhibit status;;;;;;;;230
E5;Read buffered credit or error codes;;;;;;;;229
DF;Modify inhibit and override registers;;;;;;;;223
DB;Enter new PIN number;;;;;;;Enter new PIN number [ACK];219
;new pin [1..4];4;number;;;;;;
DA;Enter PIN number;;;;;;;Enter PIN number [ACK];218
;new pin [1..4];4;number;;;;;;
D9;Request payout high / low status;;;;;;;Request payout high / low status;217
;hopper no.;?;number;;1;bitfield;;status;
;;;;;;;;Bit 0: Low level sensor status;
;;;;;;;;Bit 1: High level sensor status;
;;;;;;;;Bit 2: <reserved>;
;;;;;;;;Bit 3: <reserved>;
;;;;;;;;Bit 4: Low level sensor support;
;;;;;;;;Bit 5: High level sensor support;
;;;;;;;;Bit 6: <reserved>;
;;;;;;;;Bit 7: <reserved>;
D8;Request data storage availability;;;;;;;;216
;memory type;1;number;;;;;;
;volatile ( lost on reset );;;0;;;;;
;volatile ( lost on power-down );;;1;;;;;
;permanent ( limited use );;;2;;;;;
;permanent ( unlimited use );;;3;;;;;
;read blocks;1;number;;;;;;
;read bytes per block;1;number;;;;;;
